loan_amount,interest_rate,loan_term_Years,employment_status_Retired,annual_income,monthly_debt,credit_score,credit_history_years,num_credit_cards,num_loan_accounts,total_credit_limit,bankruptcy_flag,defaulted_previous,late_payments_30_59_days,late_payments_60_89_days,late_payments_90plus_days,Loan_issue_Year,Loan_issue_Month,loan_retained,interest_retained
15000,16.62,4.0,0.0,81205.0,2016.0,622.0,15.0,1,1,260532,0,0,4,2,2,2020,4,15000,9972.0
75000,15.54,3.0,0.0,116000.0,2753.0,454.0,19.6,1,5,146804,0,0,2,3,1,2022,9,75000,34964.99999999999
30000,12.02,2.0,0.0,190647.0,799.0,482.0,0.7,1,1,167338,0,0,6,7,2,2019,9,30000,7212.0
20000,14.86,4.0,0.0,100913.0,693.0,688.0,24.4,5,1,217581,0,0,5,4,1,2019,12,20000,11887.999999999998
10000,12.3,3.0,0.0,28107.0,6663.0,709.0,3.2,0,2,224795,0,0,2,2,2,2022,6,10000,3690.000000000001
10000,18.16,3.0,0.0,106086.0,1547.0,357.0,16.1,0,1,447018,0,0,10,2,0,2019,10,10000,5448.000000000001
40000,20.74,3.0,0.0,231987.0,7696.0,633.0,7.4,7,5,94099,0,0,10,6,1,2018,2,40000,24887.999999999996
20000,11.81,3.0,0.0,62103.0,6322.0,330.0,4.8,3,2,343883,0,0,8,2,2,2018,3,20000,7086.0
25000,15.19,3.0,0.0,116586.0,4514.0,438.0,25.0,7,5,228269,0,0,10,0,0,2022,11,25000,11392.5
5000,5.21,5.0,0.0,49284.0,2869.0,415.0,0.3,0,4,55137,0,0,2,7,4,2018,2,5000,1302.5
75000,22.41,3.0,0.0,227927.0,2387.0,389.0,28.7,6,4,438737,0,0,2,1,1,2022,2,75000,50422.5
40000,9.91,3.0,0.0,188785.0,5970.0,550.0,22.7,6,5,464246,0,0,10,7,4,2019,9,40000,11892.000000000002
10000,13.82,3.0,0.0,29572.0,6479.0,457.0,12.1,0,5,59157,1,0,3,2,1,2021,12,10000,4146.0
10000,8.05,2.0,0.0,151797.0,3707.0,615.0,27.1,4,3,321689,0,0,11,0,0,2015,4,0,0.0
20000,12.3,4.0,0.0,231568.0,3809.0,689.0,28.7,6,0,21049,0,0,10,4,4,2020,1,20000,9840.000000000002
15000,15.7,3.0,0.0,129028.0,2569.0,763.0,4.4,5,1,213965,0,0,7,4,1,2015,12,0,0.0
